"feature","Attr1","Attr2","Attr3","Attr4","Attr6","Attr9","Attr13","Attr20","Attr21","Attr25","Attr26","Attr29","Attr40","Attr44","Attr60","Attr61"
"Attr1",1,-0.431649422434424,0.452287765957922,0.180513894411113,0.403500106739368,0.100617645113712,0.66251631838215,-0.151309500985958,0.2479335398277,0.467809719081366,0.541326790668628,0.066885229756145,0.118658296700011,-0.0582647180656891,0.0350225975974059,-0.0612892501210923
"Attr2",-0.431649422434424,1,-0.74404830636784,-0.459076547494622,-0.502861992690012,0.16645460454143,-0.395330548318659,0.0044860218538688,0.0400785448589589,-0.804796596106288,-0.417615894263062,-0.121844520219936,-0.360972038187748,-0.0340609954624133,0.0061569282590614,0.0815182792859391
"Attr3",0.452287765957922,-0.74404830636784,1,0.545667806548441,0.351250805617521,0.053124142261432,0.327005477425472,0.0695742385303257,0.0204408132104443,0.587939568268822,0.380021221625163,-0.0967988313717939,0.404662504824296,0.107615618734797,-0.00384174466494936,-0.148379356942808
"Attr4",0.180513894411113,-0.459076547494622,0.545667806548441,1,0.0919177967870293,-0.0688425318852287,0.234361230024978,0.0654989128186648,-0.0594181171625622,0.282779428452125,0.561680268933744,-0.12876063765145,0.859406285098226,0.126366394384489,0.0227487074540779,-0.0187221350749151
"Attr6",0.403500106739368,-0.502861992690012,0.351250805617521,0.0919177967870293,1,-0.194380600132911,0.321440325620564,-0.023348138934736,0.043521170747678,0.681802779325236,0.197043226380039,0.327079520794905,0.0530943081556675,-0.0177920377009141,-0.0237262737519365,-0.111249273020931
"Attr9",0.100617645113712,0.16645460454143,0.053124142261432,-0.0688425318852287,-0.194380600132911,1,-0.00351084341361059,-0.269254974991761,0.122034969155771,-0.189968996489441,0.0671680694770493,-0.449399340037993,-0.079572767840389,-0.265369716970244,0.100004649934985,0.211317474165476
"Attr13",0.66251631838215,-0.395330548318659,0.327005477425472,0.234361230024978,0.321440325620564,-0.00351084341361059,1,-0.0960933685960202,0.128125750031117,0.387473942483217,0.641943955395419,0.115047392615023,0.187348859475037,0.0307521862813516,0.0458610375116067,-0.0457259370730311
"Attr20",-0.151309500985958,0.0044860218538688,0.0695742385303257,0.0654989128186648,-0.023348138934736,-0.269254974991761,-0.0960933685960202,1,-0.120097631805985,-0.0136896509532901,-0.0895140544237246,0.0752113202070164,-0.0579151703834963,0.0572423896394424,-0.252658005584246,0.000330604361655137
"Attr21",0.2479335398277,0.0400785448589589,0.0204408132104443,-0.0594181171625622,0.043521170747678,0.122034969155771,0.128125750031117,-0.120097631805985,1,0.0284441281410163,0.0519761663765497,0.0882459207189767,-0.0494419502367189,-0.0590351935022946,-0.00193246992668103,-0.0124060439998883
"Attr25",0.467809719081366,-0.804796596106288,0.587939568268822,0.282779428452125,0.681802779325236,-0.189968996489441,0.387473942483217,-0.0136896509532901,0.0284441281410163,1,0.333345839546255,0.263804197892753,0.20310727541549,0.0171748884888825,-0.0215944785089357,-0.126228761484905
"Attr26",0.541326790668628,-0.417615894263062,0.380021221625163,0.561680268933744,0.197043226380039,0.0671680694770493,0.641943955395419,-0.0895140544237246,0.0519761663765497,0.333345839546255,1,-0.0455124298369333,0.455990400096958,-0.0392421606445483,0.0521150167367319,0.0566861675176549
"Attr29",0.066885229756145,-0.121844520219936,-0.0967988313717939,-0.12876063765145,0.327079520794905,-0.449399340037993,0.115047392615023,0.0752113202070164,0.0882459207189767,0.263804197892753,-0.0455124298369333,1,-0.120533583590571,0.0399117202675274,-0.086752291864656,-0.16221172018707
"Attr40",0.118658296700011,-0.360972038187748,0.404662504824296,0.859406285098226,0.0530943081556675,-0.079572767840389,0.187348859475037,-0.0579151703834963,-0.0494419502367189,0.20310727541549,0.455990400096958,-0.120533583590571,1,0.0158204256537276,0.063113884804871,0.0615958799929516
"Attr44",-0.0582647180656891,-0.0340609954624133,0.107615618734797,0.126366394384489,-0.0177920377009141,-0.265369716970244,0.0307521862813516,0.0572423896394424,-0.0590351935022946,0.0171748884888825,-0.0392421606445483,0.0399117202675274,0.0158204256537276,1,0.0259137727607348,-0.468683379822354
"Attr60",0.0350225975974059,0.0061569282590614,-0.00384174466494936,0.0227487074540779,-0.0237262737519365,0.100004649934985,0.0458610375116067,-0.252658005584246,-0.00193246992668103,-0.0215944785089357,0.0521150167367319,-0.086752291864656,0.063113884804871,0.0259137727607348,1,-0.0122083114867231
"Attr61",-0.0612892501210923,0.0815182792859391,-0.148379356942808,-0.0187221350749151,-0.111249273020931,0.211317474165476,-0.0457259370730311,0.000330604361655137,-0.0124060439998883,-0.126228761484905,0.0566861675176549,-0.16221172018707,0.0615958799929516,-0.468683379822354,-0.0122083114867231,1
